Band0, Band1, Band2
183, 132, 190
174, 139, 236
196, 143, 189
171, 97, 188
175, 125, 180
13, 151, 195
55, 216, 2
162, 119, 145
149, 142, 183
179, 142, 172
174, 130, 186
173, 139, 188
181, 73, 161
182, 140, 236
195, 129, 188
194, 133, 170
163, 129, 173
181, 8, 180
78, 215, 137
196, 98, 168
174, 121, 181
190, 206, 173
164, 214, 173
122, 74, 188
196, 138, 177
172, 129, 189
214, 139, 177
188, 97, 168
214, 139, 181
181, 128, 145
195, 212, 236
175, 116, 189
195, 108, 237
170, 121, 189
182, 138, 179
182, 0, 145
189, 134, 2
165, 119, 189
191, 109, 237
173, 117, 188
169, 133, 170
165, 139, 180
178, 133, 188
21, 98, 172
175, 133, 186
178, 139, 181
161, 73, 145
192, 124, 165
215, 142, 173
189, 73, 188
14, 133, 170
174, 132, 173
195, 143, 1
196, 128, 161
186, 108, 249
160, 121, 168
188, 132, 145
179, 126, 172
186, 130, 165
168, 218, 186
182, 130, 161
174, 107, 177
14, 130, 173
173, 126, 161
179, 130, 194
181, 130, 173
196, 133, 180
174, 132, 172
23, 98, 191
198, 130, 237
189, 99, 183
117, 125, 165
189, 216, 189
175, 129, 177
186, 119, 145
179, 140, 236
173, 130, 189
38, 108, 170
186, 142, 173
53, 142, 129
162, 217, 186
195, 106, 200
174, 129, 189
169, 114, 170
189, 132, 15
186, 142, 173
15, 8, 180
179, 228, 173
13, 78, 161
181, 132, 159
149, 210, 187
182, 129, 168
185, 130, 180
162, 108, 189
181, 118, 178
54, 128, 179
21, 131, 195
52, 138, 168
161, 97, 165
41, 120, 152
165, 216, 18
48, 112, 177
181, 98, 169
188, 118, 154
171, 103, 177
186, 107, 180
181, 73, 165
184, 233, 173
197, 129, 181
162, 97, 189
122, 133, 172
176, 144, 173
195, 107, 145
13, 130, 173
176, 143, 177
176, 121, 145
14, 108, 173
175, 143, 177
195, 107, 189
175, 131, 177
171, 142, 188
181, 129, 173
215, 215, 177
53, 128, 173
171, 125, 188
169, 74, 172
182, 133, 186
72, 74, 173
182, 107, 161
161, 143, 173
220, 133, 187
54, 97, 180
167, 125, 169
21, 128, 105
213, 116, 140
0, 139, 173
195, 130, 164
53, 129, 173
188, 121, 178
169, 133, 170
183, 116, 187
72, 133, 170
214, 73, 181
181, 121, 170
186, 108, 181
181, 130, 154
162, 121, 165
42, 97, 180
176, 129, 171
40, 119, 184
190, 109, 164
166, 151, 173
193, 122, 141
195, 128, 179
162, 205, 170
181, 151, 130
172, 122, 180
191, 108, 170
181, 122, 11
186, 128, 173
195, 129, 180
174, 157, 177
193, 128, 170
188, 119, 172
49, 146, 7
173, 108, 189
183, 109, 173
175, 129, 179
193, 142, 189
191, 132, 169
14, 128, 170
178, 123, 181
182, 78, 161
81, 215, 155
181, 128, 145
195, 127, 2
198, 72, 194
161, 142, 236
136, 143, 145
53, 132, 186
182, 142, 176
188, 128, 189
149, 126, 161
191, 97, 172
17, 71, 185
186, 142, 173
195, 118, 15
38, 106, 168
186, 233, 104
54, 139, 244
136, 130, 189
188, 132, 173
177, 215, 182
181, 132, 172
195, 214, 170
169, 121, 188
195, 130, 181
13, 132, 173
190, 215, 173
165, 119, 170
162, 143, 180
185, 151, 189
214, 133, 182
171, 143, 161
198, 142, 186
185, 71, 161
53, 142, 180
195, 130, 135
52, 107, 168
48, 218, 133
21, 106, 236
162, 121, 177
44, 71, 14
171, 142, 186
186, 139, 161
176, 130, 182
212, 133, 170
164, 142, 173
205, 131, 186
195, 133, 188
189, 130, 173
13, 142, 170
177, 143, 173
191, 128, 189
182, 210, 236
213, 116, 134
21, 214, 140
170, 133, 188
