Band0, Band1, Band2
5, 18, 64
96, 91, 13
9, 26, 148
60, 129, 241
183, 134, 243
69, 113, 172
4, 66, 45
97, 25, 1
4, 66, 147
7, 86, 211
183, 136, 250
44, 67, 21
220, 148, 242
191, 233, 131
68, 168, 174
96, 95, 71
48, 127, 253
185, 233, 241
53, 148, 246
14, 244, 241
53, 213, 246
67, 72, 166
192, 129, 180
113, 207, 7
11, 63, 232
96, 207, 30
105, 22, 59
96, 91, 54
93, 166, 73
106, 167, 77
105, 59, 98
18, 189, 152
93, 42, 100
163, 184, 223
39, 169, 87
21, 169, 48
163, 186, 205
104, 191, 219
96, 194, 167
66, 115, 170
104, 210, 42
38, 132, 172
12, 2, 140
7, 41, 150
22, 210, 60
112, 209, 229
4, 208, 229
10, 164, 167
68, 174, 189
60, 222, 64
5, 63, 29
5, 208, 229
7, 165, 167
8, 26, 219
105, 89, 45
93, 44, 231
105, 59, 219
18, 194, 150
105, 198, 219
105, 197, 168
111, 193, 150
4, 177, 164
4, 177, 168
109, 3, 211
8, 174, 168
10, 82, 169
5, 180, 161
10, 81, 170
10, 81, 170
61, 116, 161
68, 71, 172
64, 82, 163
68, 71, 161
8, 113, 180
8, 21, 179
96, 61, 17
104, 124, 33
104, 124, 33
105, 87, 26
95, 91, 51
7, 60, 4
10, 15, 169
10, 165, 170
68, 113, 172
109, 60, 243
87, 208, 33
104, 21, 62
39, 85, 233
22, 26, 69
111, 53, 54
109, 186, 212
109, 41, 204
111, 90, 44
4, 96, 120
61, 251, 208
165, 252, 242
107, 62, 240
111, 106, 14
60, 180, 185
39, 42, 88
3, 172, 168
8, 174, 168
9, 174, 161
110, 196, 151
53, 56, 227
110, 41, 151
109, 27, 163
10, 84, 145
91, 84, 34
94, 22, 208
97, 120, 1
10, 8, 190
66, 0, 169
106, 208, 230
101, 19, 36
12, 115, 169
7, 81, 170
48, 244, 37
94, 87, 80
111, 3, 151
22, 35, 59
96, 169, 151
8, 52, 160
18, 165, 54
93, 91, 35
105, 50, 77
68, 174, 184
10, 120, 170
18, 102, 50
92, 67, 204
68, 63, 103
7, 73, 170
59, 131, 114
42, 35, 148
94, 32, 218
93, 165, 54
7, 107, 239
183, 246, 247
182, 80, 249
49, 139, 13
14, 89, 206
3, 80, 180
5, 89, 53
101, 91, 204
8, 205, 172
49, 149, 247
182, 233, 195
183, 148, 250
54, 148, 17
11, 30, 187
9, 89, 53
10, 38, 1
10, 41, 140
8, 89, 172
109, 111, 3
66, 114, 173
43, 71, 172
132, 209, 230
177, 109, 147
183, 81, 205
183, 161, 220
180, 98, 49
53, 44, 233
62, 186, 51
6, 201, 169
112, 177, 168
10, 83, 169
49, 164, 170
219, 141, 66
10, 64, 7
99, 22, 37
92, 61, 11
100, 30, 183
94, 5, 168
94, 22, 40
92, 90, 25
92, 166, 138
10, 125, 171
11, 180, 161
183, 122, 44
99, 96, 0
99, 174, 168
94, 180, 168
102, 1, 169
5, 26, 166
1, 12, 178
10, 162, 169
104, 96, 70
96, 93, 204
4, 205, 40
55, 248, 198
54, 146, 247
53, 140, 246
53, 237, 23
55, 233, 241
55, 220, 249
12, 81, 170
55, 128, 28
106, 118, 0
162, 90, 25
13, 215, 199
110, 107, 227
161, 125, 44
14, 103, 209
83, 136, 13
189, 109, 217
42, 206, 168
21, 134, 30
179, 122, 186
14, 152, 189
